duplicate_row_number,term,definition,first_seen_term,first_seen_definition,same_definition
6377,Local Product Content,"Tender price less the value of imported content, expressed as a percentage. Necessary to first compute the imported value of a product to determine the local content of a product.",LOCAL PRODUCT CONTENT,"Tender price less the value of imported content, expressed as a percentage. Necessary to first compute the imported value of a product to determine the local content of a product.",true
6380,Local Touch,"The intangible service elements that suppliers often provide during the performance of their work, but that are seldom recognized or incorporated in the written contract documents.",LOCAL TOUCH,"The intangible service elements that suppliers often provide during the performance of their work, but that are seldom recognized or incorporated in the written contract documents.",true
6476,Lowest Responsible Vendor,"The vendor with the lowest price whose past performance, reputation and financial capability is deemed acceptable.",LOWEST RESPONSIBLE VENDOR,"The vendor with the lowest price whose past performance, reputation and financial capability is deemed acceptable.",true
6551,MACROECONOMIC RESEARCH,"This refers to the general economic
and business environment. It focuses
on factors that can influence the future
balance between supply and demand.
Make to order (MTO) Only raw materials
and components are kept in stock. Every
customer order is a specific project.
Examples are the manufacture of cans
and basic construction materials.",Macroeconomic Research,This refers to the general economic and business environment. It focuses on factors that can influence the future balance between supply and demand.,false
6577,MAKE OR BUY,"The process of making a choice between
producing a product oneself or buying it.",Make or Buy,The process of making a choice between producing a product oneself or buying it.,false
6596,Managed Spend,Spend that has been through a strategic sourcing review and is being bought on contract.,MANAGED SPEND,Spend that has been through a strategic sourcing review and is being bought on contract.,true
6602,Mandated Investment,"Any investment made by or through any third party regulated by legislation on behalf of the actual owner of the funds, pursuant to a mandate given by the owner of the funds, pursuant to a mandate given by the owner to a third party, which mandate is governed by that legislation.",MANDATED INVESTMENT,"Any investment made by or through any third party regulated by legislation on behalf of the actual owner of the funds, pursuant to a mandate given by the owner of the funds, pursuant to a mandate given by the owner to a third party, which mandate is governed by that legislation.",true
6604,Mandatory,"Obligatory, required by order, a provision that may not be waived.",MANDATORY,"Obligatory, required by order, a provision that may not be waived.",true
6607,Mandatory Requirements (Conditions),May apply to RFP's and IFB's and are conditions set out in the specifications/statement of work that must be met without alteration. Mandatory requirements should be clearly identified. Not meeting mandatory requirements may be grounds for disqualification.,MANDATORY REQUIREMENTS (CONDITIONS),May apply to RFP’s and IFB’s and are conditions set out in the specifications/statement of work that must be met without alteration. Mandatory requirements should be clearly identified. Not meeting mandatory requirements may be grounds for disqualification.,false
6631,Margin Of Preference,Entitles a procuring entity to select a submission from a local supplier as the successful supplier when the difference in price (or price when combined with quality scores) between that submission and the overall lowest-priced or most advantageous submission falls within the stipulated preferential range as designated by,MARGIN OF PREFERENCE,Entitles a procuring entity to select a submission from a local supplier as the successful supplier when the difference in price (or price when combined with quality scores) between that submission and the overall lowest-priced or most advantageous submission falls within the stipulated preferential range as designated by the relevant government department.,false
6647,Mark-Up,"Term used to describe the ratio of the Gross Margin Dollars of an item divided by the Cost of the item. Many people use the terms Margin & Mark- up as though they mean the same thing but they are very different. One of the main differences: Mark-up %, being based on cost, is seldom realized due to shrinkage, while Margin %, being based on actual sales, represents what has actually been achieved. In some instances it is beneficial to know how to convert mark- up to margin, and vice versa.",MARK-UP,"Term used to describe the ratio of the Gross Margin Dollars of an item divided by the Cost of the item. Many people use the terms Margin & Markup as though they mean the same thing but they are very different. One of the main differences: Mark-up %, being based on cost, is seldom realized due to shrinkage, while Margin %, being based on actual sales, represents what has actually been achieved. In some instances it is beneficial to know how to convert markup to margin, and vice versa.",false
6657,MARKET STRUCTURE,"Defined in this book as the total set of
conditions in which a company sells
its products, with special attention to
the number of parties in the market and nature of the product traded.
Mark-up pricing The most common
way of setting a price is by adding
a fixed percentage mark-up to the
cost price (cost-based pricing).",Market Structure,"The total set of conditions in which a company sells its products, with special attention to the number of parties in the market and the nature of the product being traded.",false
6690,MATERIAL,"(1)Term commonly used by warehouse
environments to refer to equipment,
apparatus and supplies used by an
organisation or institution. (2) A
substance from which something
is made or can be made such as
building materials,  paper, plastic,
or other materials. (3) A substance
that has a particular quality such
as a sticky material, explosive
materials, genetic material.",Material,"1. The raw materials and purchased components used in the production of other items. 2. The classification of any lower level item, whether purchased or manufactured. A sub-assembly that has material, labour, and overhead content may be considered strictly as material in the context of being used in an upper level item.",false
6702,Material Substitutions,"An example of ""second level cost savings"" achieved by identifying and qualifying acceptable material alternatives that meet specification requirements but cost less than existing materials.",MATERIAL SUBSTITUTIONS,An example of “second level cost savings” achieved by identifying and qualifying acceptable material alternatives that meet specification requirements but cost less than existing materials.,false
6711,MATERIALS MANAGEMENT,"A comprehensive integration of
the various supply management
functions within a particular
organisation. May include functions
such as purchasing, storage,
inventory control, material/materiel
forecasting, receiving, transportation,
inspection and quality control. Also
see Supply Chain Management.",Materials Management,"The organisational functions responsible for the planning, sourcing, stocking, and logistics activities of materials used in the internal and external fulfilment of demand.",false
6713,MATERIALS PLANNERS,"Materials planners are responsible
for materials planning and ordering.
Materials planners focus on calling
off the materials required against the
prearranged framework agreements.
Furthermore, they monitor and
control suppliers on their quantity
and delivery performance.",Materials Planners,Responsible for materials planning and ordering.,false
6723,MAVERICK BUYING,"Refers to the situation where someone
within the client organisation
does not buy from the preferred
suppliers with agreed contracts.",Maverick Buying,Refers to the situation where someone within the client organisation does not buy from the preferred suppliers with agreed contracts.,false
6784,Mercosur,"An economic and political agreement between Argentina, Brazil, Paraguay and Uruguay. Its purpose is to promote free trade and the fluid movement of goods, people, and currency. The official languages are Portuguese and Spanish. It has been updated, amended, and changed many times since. It is now a full customs union. Bolivia, Chile, Colombia, Ecuador and Peru currently have associate member status. Venezuela signed a membership agreement on 17 June 2006.",MERCOSUR,"Abbreviation for: Mercado Común del Sur/Customs Union of Brazil, Argentina, Paraguay and Uruguay.",false
6791,MESOECONOMIC RESEARCH,"Research which focuses which
focuses specific sectors of industry.",Mesoeconomic Research,Research which focuses on specific sectors of industry.,false
6825,MICROECONOMIC RESEARCH,"Research which fouses on assessing
strengths and weaknesses of
individual suppliers and products.",Microeconomic Research,Research which focuses on assessing strengths and weaknesses of individual suppliers and products.,false
6863,Minor Irregularity,"A variation from the solicitation that does not affect the price of the contract or does not give a respondent an advantage or benefit not enjoyed by other respondents, or does not adversely impact the",MINOR IRREGULARITY,"A variation from the solicitation that does not affect the price of the contract or does not give a respondent an advantage or benefit not enjoyed by other respondents, or does not adversely impact the interests of the contracting party.",false
6901,Mobile Procurement,"Mobile procurement refers to any business software that allows users to control their procurement processes from any mobile device. With mobile procurement solutions, users can create purchase orders, receive notifications, engage in real-time analysis of their procurement activities and control the entire S2P operation.",MOBILE PROCUREMENT,"Mobile procurement refers to any business software that allows users to control their procurement processes from any mobile device. With mobile procurement solutions, users can create purchase orders, receive notifications, engage in real-time analysis of their procurement activities and control the entire S2P operation.",true
6917,Modified Rebuy,Relates to a situation when the organisation wants to purchase a new product from a known supplier or an existing product from a new supplier.,MODIFIED REBUY,"Relates to a situation when the organisation wants to purchase a new product from a known supplier, or an existing product from a new supplier.",false
6935,MONOPOLY,"(1)  A market situation where there is
one seller and many buyers of a
product or service that has no close
substitution and where the seller
has considerable control over price
because of the lack of competition.",Monopoly,Is characterised by the presence of only one supplier of the product in question.,false
6938,MONOPSONY,"A market in which there
is only one buyer.",Monopsony,In this situation there is only one buyer of the product versus a large number of suppliers.,false
6947,MORAL HAZARD,"Risk that both contractual parties will
primarily pursue their own interest",Moral Hazard,Risk that both contractual parties will primarily pursue their own interest.,false
6951,Most Desirable Outcome (MDO),Best possible outcome from a negotiation,MOST DESIRABLE OUTCOME (MDO),Best possible outcome from a negotiation,true
7031,Multination Business South Africa,Measure entity with a business in the republic of South Africa and elsewhere which maintain its international headquarter outside the Republic.,MULTINATION BUSINESS SOUTH AFRICA,Measure entity with a business in the republic of South Africa and elsewhere which maintain its international headquarter outside the Republic.,true
7038,MULTIPLE SOURCING,A sourcing strategy in which the buying firm shares its business across multiple suppliers.,Multiple Sourcing,A sourcing strategy in which the buying firm shares its business across multiple suppliers.,true
7046,Mutual Assent,The agreement of each party to all the terms and conditions in the same context and with the same meaning.,MUTUAL ASSENT,The agreement of each party to all the terms and conditions in the same context and with the same meaning.,true
7049,Mutuality Of Obligation,"One of the elements of a contract. Both parties to an agreement are obligated, or none of the parties is obligated. Both parties must supply consideration to the other party. It is a sub-element of consideration. There may be more than two parties obligated in an agreement.",MUTUALITY OF OBLIGATION,"One of the elements of a contract. Both parties to an agreement are obligated, or none of the parties is obligated. Both parties must supply consideration to the other party. It is a sub-element of consideration. There may be more than two parties obligated in an agreement.",true
7081,Narrative Evaluations,"A form of performance measurement and feedback that can be used as an alternative or supplement to other evaluation criteria. Narrative evaluations generally consist of several paragraphs of written text about the individual's performance. This type of evaluation can be very subjective based on the use of words, phrases, and tone of writing style.",NARRATIVE EVALUATIONS,"A form of performance measurement and feedback that can be used as an alternative or supplement to other evaluation criteria. Narrative evaluations generally consist of several paragraphs of written text about the individual’s performance. This type of evaluation can be very subjective based on the use of words, phrases, and tone of writing style.",false
7094,National Skills Strategy South Africa,National skills development strategy referred to in section 5(1)(a)(ii) of the skills development Act.,NATIONAL SKILLS STRATEGY SOUTH AFRICA,National skills development strategy referred to in section 5(1)(a)(ii) of the skills development Act.,true
7138,Negotiate,To communicate or confer with another party to reach an agreement or compromise to settle some matter.,NEGOTIATE,To communicate or confer with another party to reach an agreement or compromise to settle some matter.,true
7143,Negotiated Procurement,"A solicitation in which it is not advantageous to set forth all the actual, detailed requirements at the time of solicitation and responses are subject to negotiation. Price must be a factor in the award but not the sole factor.",NEGOTIATED PROCUREMENT,"A solicitation in which it is not advantageous to set forth all the actual, detailed requirements at the time of solicitation and responses are subject to negotiation. Price must be a factor in the award but not the sole factor.",true
7145,NEGOTIATION,"The process in which at least two
parties—with different needs and viewpoints—engage in discussions in
order to try and reach an agreement
on matters of mutual interest.",Negotiation,The process in which at least two partners - with different needs and viewpoints - engage in discussions in order to try and reach an agreement on matters of mutual interest.,false
7147,Negotiation Team,"A group of people, typically including a procurement official, project manager, technical staff, financial analyst, and legal expert who have the essential skills or knowledge necessary to reach a sound agreement. This team can determine: the most appropriate type of contract; terms of the contract; special warranty or delivery provisions; technical and engineering specifications; subcontractors needed, as well as other negotiable goals. The complexity of the negotiation will determine the size of the team. A negotiation team is usually selected for a major acquisition and may include some or all members",NEGOTIATION TEAM,"A group of people, typically including a procurement official, project manager, technical staff, financial analyst, and legal expert who have the essential skills or knowledge necessary to reach a sound agreement. This team can determine: the most appropriate type of contract; terms of the contract; special warranty or delivery provisions; technical and engineering specifications; subcontractors needed, as well as other negotiable goals. The complexity of the negotiation will determine the size of the team. A negotiation team is usually selected for a major acquisition and may include some or all members of the Evaluation Committee.",false
7169,Net Value Date South Africa,"The later occurring of the date of commencement of statement 100 and the date upon which the earliest of all still operative transaction undertaken by the measured entity measured entities in order to achieve black rights of ownership, become effective and unconditional.",NET VALUE DATE SOUTH AFRICA,"The later occurring of the date of commencement of statement 100 and the date upon which the earliest of all still operative transaction undertaken by the measured entity measured entities in order to achieve black rights of ownership, become effective and unconditional.",true
7171,Net Value South Africa,The percentage resulting from the formula in Annexe 100(c) of statement 100.,NET VALUE SOUTH AFRICA,The percentage resulting from the formula in Annexe 100(c) of statement 100.,true
7181,New Entity South Africa,"An early stage business which is similar to a start-up. However, an early stage business is typically 3 years old or less.",NEW ENTITY SOUTH AFRICA,"An early stage business which is similar to a start-up. However, an early stage business is typically 3 years old or less.",true
7236,NON-CORE COMPETENCIES,"Those activities that are conducted
within the company that do
not contribute to sustainable
competitive advantage.",Non-core Competencies,Those activities that are conducted within the company that do not contribute to sustainable competitive advantage.,false
7256,Non-Responsive (BID),A response to a bid or an offer that does not conform to the mandatory or essential requirements contained in the Invitation for Bids (IFB).,NON-RESPONSIVE (BID),A response to a bid or offer that does not conform to the mandatory or essential requirements contained in the Invitation for Bids (IFB).,false
7264,Non-task Variables,Variables that are related to the personalities of the persons involved in the purchase decision-making process.,NON-TASK VARIABLES,Variables that are related to the personalities of the persons involved in the purchase decision-making process.,true
7265,Non-Task Variables,Variables that are related to the personalities of the persons involved in the purchase decision-making process.,NON-TASK VARIABLES,Variables that are related to the personalities of the persons involved in the purchase decision-making process.,true
7268,Non-Waiver Agreement,A written agreement signed by the parties to the agreement that they understand the agreement in its entirety and nothing shall be deemed to constitute a waiver of the agreement.,NON-WAIVER AGREEMENT,A written agreement signed by the parties to the agreement that they understand the agreement in its entirety and nothing shall be deemed to constitute a waiver of the agreement.,true
7276,Norming,The stage of the team development process of establishing team rules and procedures; helps the team find its own uniquely collaborative rhythm.,NORMING,"A term used in group development where interaction changes as members agree on a common goal, assign individual tasks, and define a set of rules and roles to ensure effective and productive team interaction.",false
7284,Not To Exceed (NTE),Used in work orders to denote the maximum billable amount per service call.,NOT TO EXCEED (NTE),Used in work orders to denote the maximum billable amount per service call.,true
7289,Notice Of Award,"A written notification from the public entity to the successful bidder, or offeror stating that there is an award of a contract in accordance with a bid or proposal previously submitted, and that effective with receipt the vendor or contractor shall proceed",NOTICE OF AWARD,"A written notification from the public entity to the successful bidder, or offeror stating that there is an award of a contract in accordance with a bid or proposal previously submitted, and that effective with receipt the vendor or contractor shall proceed with performance; allows work to start while contract is printed and readied for distribution.",false
7291,Notice Of Intent (NOI),"Public notice issued to announce the intended award of an agreement to a certain supplier or service provider without formal competitive sourcing. Any bidder that wishes to participate in this work may object to the award. These types of solicitations are often used if a satisfactory relationship exists with a supplier or service provider and it is not in the organization's best interest to change providers. Organizations should consider the value attached to an alternate firm, stage in the project life cycle, proprietary product, parts or components compatibility, etc. before ending a supplier relationship.",NOTICE OF INTENT (NOI),"Public notice issued to announce the intended award of an agreement to a certain supplier or service provider without formal competitive sourcing. Any bidder that wishes to participate in this work may object to the award. These types of solicitations are often used if a satisfactory relationship exists with a supplier or service provider and it is not in the organisation’s best interest to change providers. Organisations should consider the value attached to an alternate firm, stage in the project life cycle, proprietary product, parts or components compatibility, etc. before ending a supplier relationship.",false
7293,Notice Of Intent To Award,"As a result of a competitive process, a public notice is issued and, in some instances, where local laws allow, a Notice of Intent to Award is issued and award will occur only upon receipt of the specified items. For example: performance securities.",NOTICE OF INTENT TO AWARD,"As a result of a competitive process, a public notice is issued and in some instances, where local laws allow, a Notice of Intent to Award is issued and award will occur only upon receipt of the specified items. For example: performance securities.",false
7295,Notice Of Proposed Procurement,A general opportunity available to suppliers to provide specified products or services. Also referred to as a Notice of Bidding Request.,NOTICE OF PROPOSED PROCUREMENT,A general opportunity available to suppliers to provide specified products or services. Also referred to as a Notice of Bidding Request.,true
7297,Notice To Proceed (NTP),"A notice issued to the successful bidder advising them that it is the government's intent to award a contract. In construction contracting, it is common practice to require completion of performance in a specified number of days after issuance of the notice to proceed.",NOTICE TO PROCEED (NTP),"A notice issued to the successful bidder advising them that it is the government’s intent to award a contract. In construction contracting, it is common practice to require completion of performance in a specified number of days after issuance of the notice to proceed.",false
7301,Novation,An agreement where a contracting party accepts a new party in place of the prior party (relieving the prior party of any further obligations).,NOVATION,An agreement where a contracting party accepts a new party in place of the prior party (relieving the prior party of any further obligations).,true
7303,Novation Agreement,"A legal document executed by the original parties to a contract and a successor to whom interest in the contract has been transferred by one of the parties, which transfers all obligations and rights under the contract to the successor.",NOVATION AGREEMENT,"A legal document executed by the original parties to a contract and a successor to whom interest in the contract has been transferred by one of the parties, which transfers all obligations and rights under the contract to the successor.",true
7310,NPR Buyers,These buyers responsible for buying and non-product- related goods and services.,NPR BUYERS,These buyers responsible for buying and non-productrelated goods and services.,false
7365,Objects Of Procurement,"A term used for any one of the categories of goods, works or services or any mixture thereof. In case of a mixture the category for classification is that to which the majority of the value belongs.",OBJECTS OF PROCUREMENT,"A term used for any one of the categories of goods, works or services or any mixture thereof. In case of a mixture the category for classification is that to which the majority of the value belongs.",true
7368,Obligation,"A legal requirement for the disbursement of funds as a result of orders placed, contracts awarded, supplies, services, or construction received, or other contractual activity.",OBLIGATION,"A legal requirement for the disbursement of funds as a result of orders placed, contracts awarded, supplies, services, or construction received, or other contractual activity.",true
7402,Off-Contract Purchase,When permission/waiver is granted to vendor that can provide the identical contract item at a lower price.,OFF-CONTRACT PURCHASE,When permission/waiver is granted to vendor that can provide the identical contract item at a lower price.,true
7405,Offer,"An expression of willingness to contract on certain terms, made with the intention that it shall become binding as soon as it is accepted by the person to whom it is addressed'. Typically suppliers make offers in the form of bids, quotations or tenders, which may then be accepted by the buyer. The offer defines the terms upon which the supplier is willing to be bound, which normally include price, date of delivery, payment terms and a description of the category. One of the essential prerequisites for the formation of a contract is the existence of an offer. Offer, Tender, Submission A generic term for bids, quotations and proposals, received from a Supplier in response to Solicitation Documents.",OFFER,"An expression of willingness to contract on certain terms, made with the intention that it shall become binding as soon as it is accepted by the person to whom it is addressed’. Typically suppliers make offers in the form of bids, quotations or tenders, which may then be accepted by the buyer. The offer defines the terms upon which the supplier is willing to be bound, which normally include price, date of delivery, payment terms and a description of the category. One of the essential prerequisites for the formation of a contract is the existence of an offer.",false
7408,Offeree,The person/entity to whom an offer is made usually in response to a Request for Proposal (RFP).,OFFEREE,The person/entity to whom an offer is made usually in response to a Request for Proposal (RFP).,true
7411,Offeror,The person/entity who submits a proposal in response to a Request for Proposals (RFP). One who makes an offer in response to a solicitation.,OFFEROR,The person/entity who submits a proposal in response to a Request for Proposals (RFP). One who makes an offer in response to a solicitation.,true
7436,OLIGOPOLY,"An oligopoly is a market type
characterised by a limited
number of suppliers and a limited
product differentiation.",Oligopoly,An oligopoly is a market type characterised by a limited number of suppliers and a limited product differentiation.,false
7438,OLIGOPSONY,"This is the oligopoly situation in
reverse: there are only a few buyers
and a large number of suppliers.",Oligopsony,This is the oligopoly situation in reverse: there are only a few buyers and a large number of suppliers.,false
7455,On Time Shipping Rate,"The percentage of items, SKUs or order value that arrives on or before the requested ship date. (Number of On Time Items / Total Items) * 100. The on time shipping rate is key to customer satisfaction. A high rate indicates an efficient supply chain.",ON TIME SHIPPING RATE,"The percentage of items, SKUs or order value that arrives on or before the requested ship date. (Number of On Time Items / Total Items) * 100. The on time shipping rate is key to customer satisfaction. A high rate indicates an efficient supply chain.",true
7483,OPEN INNOVATION,"Purpose of open innovation is
to create close collaboration on
research and development, new
product design and development and
market introduction with parties that
would share the company's business
interests in such collaboration.",Open Innovation,"The purpose of open innovation is to create close collaboration on research and development, new product design, and development, and market introduction with parties that would share the company’s business interests in such collaboration.",false
7494,OPEN TO BUY,"A control technique used in aggregate
inventory management in which
permissions to buy  are made
without being committed to specific
suppliers. These authorisations are
often reviewed by management using
such measures as commodity in monetary terms, and by time period.",Open to Buy,"A control technique used in aggregate inventory management in which authorisations to purchase are made without being committed to specific suppliers. These authorisations are often reviewed by management using such measures as commodity in dollars, and by time period.",false
7495,Open To Buy,"A control technique used in aggregate inventory management in which permissions to buy are made without being committed to specific suppliers. These authorisations are often reviewed by management using such measures as commodity in monetary terms, and by time period.",Open to Buy,"A control technique used in aggregate inventory management in which authorisations to purchase are made without being committed to specific suppliers. These authorisations are often reviewed by management using such measures as commodity in dollars, and by time period.",false
7514,Operations And Supply Chain Strategy,A functional strategy that indicates how structural and infrastructural elements within the operations and supply chain areas will be acquired and developed to support the overall business strategy.,Operations and Supply Chain Strategy,A functional strategy that indicates how structural and infrastructural elements within the operations and supply chain areas will be acquired and developed to support the overall business strategy.,true
7517,OPERATIONS MANAGEMENT,"The activities, decisions and
responsibilities of managing the set of
activities that results in the delivery
of a tangible or intangible product.",Operations Management,"The activities, decisions and responsibilities of managing the production and delivery of products and services.",false
7521,OPERATIONS STRATEGY,"The guiding principles relating
to managing operations.",Operations Strategy,The overall direction and contribution of the operation’s function with the business; the way in which market requirements and operations resource capabilities are reconciled within the operation.,false
7524,Opportunity Analysis,The process of identifying means to capture value through sourcing. Facilitates sourcing process,OPPORTUNITY ANALYSIS,"The process of identifying means to capture value through sourcing. Facilitates sourcing process improvements and highlights possible savings opportunities. Opportunity analysis generally involves analysis of the organisation’s requirements, suppliers, spend and existing sourcing methods.",false
7537,OPTION,"An obligation in a contract, by means
of which, for a specified time, the buyer
may elect to exercise a right such
as to procure additional supplies or
services called for in the contract, or
to extend the term of the contract.",Option,"An available choice within a feature category, as in the ten colours of paint offered for a given car model. The combination of options selected for a given order determines the end item configuration and sometimes changes its final price or standard cost. Often used in assemble-to-order (ATO) environments.",false
7539,Option To Extend/Renew,A provision (or exercise of a provision) which allows a continuance of the contract for an additional time according to permissible contractual conditions.,OPTION TO EXTEND/RENEW,A provision (or exercise of a provision) which allows a continuance of the contract for an additional time according to permissible contractual conditions.,true
7541,OPTIONAL PRICES,"Prices for future spare parts and
services after delivery of the work.",Optional Prices,Prices for future deliveries of spare parts and services after delivery of the work.,false
7554,ORDER BOOK,"A database maintained by purchasers
to record historical purchasing
data, ""Stock To"" levels, and other
information pertaining to each
item in a given department.",Order Book,"A listing of open (unshipped) customer orders, normally time-phased and valued at actual individual order prices, which may include margin and profitability analysis.",false
7563,ORDER MANAGEMENT,"The planning, directing, monitoring,
and controlling of processes related
to customer orders, manufacturing
orders, and purchase orders. Order
management includes order entry,
picking, packing, shipping, and billing.",Order Management,"The planning, directing, monitoring, and controlling of processes related to customer orders, manufacturing orders, and purchase orders. Order management includes order entry, picking, packing, shipping, and billing.",false
7574,Order Profile,"Data describing the characteristics of inbound, outbound, or internal orders (outbound is most common). Examples of characteristics incorporated into an order profile could include: line items per order, pieces per order, weight per order, cube per order, time of day, destination, shipment method, order type, etc. Characteristics are often broken into logical groups such as breaking line items per order into groups of items.",ORDER PROFILE,"Data describing the characteristics of inbound, outbound, or internal orders (outbound is most common). Examples of characteristics incorporated into an order profile could include: line items per order, pieces per order, weight per order, cube per order, time of day, destination, shipment method, order type, etc. Characteristics are often broken into logical groups such as breaking line items per order into groups of items.",true
7585,Order-To-Pay,"Solutions systems that are used to ordering process, ranging from requisitioning, to ordering, supplier delivery and payment.",ORDER-TO-PAY,"Solutions systems that are used to ordering process, ranging from requisitioning, to ordering, supplier delivery and payment.",true
7587,ORDERING,"Refers to the placing of purchase orders at a supplier against previously arranged conditions or when orders are placed directly at the supplier, without questioning the supplier’s conditions.",Ordering,"Refers to the placing of purchase orders at a supplier against previously arranged conditions or when orders are placed directly at the supplier, without questioning the supplier’s conditions.",true
7595,Organ Of State South Africa,"a. A national or provincial department as defined in the South African public finance management Act no 1 of 1999. b. A municipality as contemplated in the constitution; c. Parliament; A provincial legislation, and d. Any other institution or category of institution included in the defined or ""organ of state"" in",ORGAN OF STATE SOUTH AFRICA,"A national or provincial department as defined in the South African public finance management Act no 1 of 1999. A municipality as contemplated in the constitution; Parliament; A provincial legislation, and Any other institution or category of institution included in the defined or “organ of state” in section 239 of the constitution and recognised by the minister by notice in the Government Gazette as an institution or category of institution to which this Act applies.",false
7640,Outcome-Oriented Contract,Specification of desired outcomes of contractor work.,OUTCOME-ORIENTED CONTRACT,Specification of desired outcomes of contractor work.,true
7647,OUTPUT,"Relates to the functionality of the
service instead of the activity itself.",Output,The result generated by a process that transforms an input.,false
7652,OUTSOURCING,"The ongoing use of an external third
party instead of an internal resource
which may include production of
a single operation, a product or
an entire line, shipping and order
fulfilment, product design, network
infrastructure support, or many other
functions. Outsourced functions are
normally outside an organisation’s core
competencies and are done to reduce
cost, reduce lead time, improve quality,
or achieve some other stated goal.",Outsourcing,The ongoing use of an external third party instead of an internal resource to perform various functions.,false
7655,"OUTSOURCING, PARTIAL","Partial outsourcing refers to the case
in which only a part of an integrated
function is outsourced. The co-
ordination of the function and activities
still lies with the client (the buyer).","Outsourcing, Partial",When only part of an integrated function is outsourced while coordination remains with the client.,false
7658,"OUTSOURCING, TURNKEY","Turnkey outsourcing applies when
the responsibility for the execution of
the entire outsourced function (or set
of outsourced activities) lies with the
external provider. This includes not only
the execution of the activities, but also
the co-ordination of these activities.OVERSPECIFYING
A situation in which technical
requirements are imposed on
suppliers which are not necessary
for the functionality of the product.","Outsourcing, Turnkey",When an external provider takes full responsibility for the execution and coordination of outsourced activities.,false
7723,Packing List,"List showing the number and kinds of items being shipped, as well as other information needed for transportation purposes as well as types of packaging.",PACKING LIST,"A document which itemizes in
detail the contents of a particular
package or shipment.",false
7793,PARTIAL OUTSOURCING,"Partial outsourcing refers to the case
in which only a part of an integrated
function is outsourced. The co-
ordination of the function and activities
still lies with the client (the buyer).",Partial Outsourcing,Partial outsourcing refers to the case in which only a part of an integrated function is outsourced. The coordination of the function and activities still lies with the client (the buyer).,false
7797,PARTNER,"Partner is a label applied to suppliers
with whom the buying organisation
enjoys a longer term and cooperative
relationship. It is part of a classification
of potential buyer-supplier
relationships, and represents a type of
relationship in which both parties work
to reduce waste, reduce cycle time,
and create joint profit and other forms
of value. The creation of joint working
teams and the adoption of common
work practices are linked to longer term
relationships, in which both parties
forego opportunism, and work towards
longer-term goals. Such relationships
are; however, time consuming to
create and resource hungry.",Partner,"A (supplier) partner is defined as a firm with whom your company has an ongoing buyer-seller relationship, involving a commitment over an extended period, a mutual sharing of information and a sharing of risks and rewards resulting from the relationship.",false
7799,Partnering,"Partnering refers to the process of developing a relationship to one in which both parties are prepared to work cooperatively. It requires selecting the potential partner and facilitating changes in behaviour, such as the replacement of competition with cooperation and the development of trust. If the parties have been used to claiming value from each other in win-lose negotiations, partnering implies creating and sharing that value. Partnering also describes the creation of a culture where the seller is open about their costs, and the buyer declines to behave opportunistically.",PARTNERING,"Partnering refers to the process of developing a relationship to one in which both parties are prepared to work cooperatively. It requires selecting the potential partner and facilitating changes in behavior, such as the replacement of competition with cooperation and the development of trust. If the parties have been used to claiming value from each other in win-lose negotiations, partnering implies creating and sharing that value. Partnering also describes the creation of a culture where the seller is open about their costs, and the buyer declines to behave opportunistically.",false
7801,PARTNERSHIP,"Partnership is a label given to a
relationship in which the parties
forego short-term opportunism and
demonstrate a longer-term commitment
to jointly strive for lower costs and the
creation of new ways of working together
to improve joint competitiveness. In
a partnership, senior managers from
both organisations will meet to align
longer term planning and goals, and
commission joint teams to work across
organisational boundaries to align
systems, processes and behaviors.",Partnership,"A formal, long-term relationship between organisations, which involves a mutual sharing of information, risks, and rewards.",false
7836,PAYMENT TERMS,"The conditions under which a seller will
complete a sale. Typically, these terms
specify the period allowed to a buyer to
pay off the amount due, and may demand
cash in advance, cash on delivery, a
deferred payment period of 30 days
or more, or other similar provisions.",Payment Terms,"Payment terms relate to what, how, and when the buyer will pay for the products and services delivered by the supplier.",false
7865,Penalty Clause,That part of the contract which will stipulate what will happen if a supplier does not meet its obligations.,PENALTY CLAUSE,The part of the contract which will stipulate what will happen if a supplier does not meet its obligations.,false
7871,PER DIEM,By the day.,Per Diem,"A charge, based on a fixed daily rate.",false
7873,PERCEIVED VALUE PRICING,"A general rule in marketing is that you
do not base your selling price on the cost
price of the product, but rather on what the market can bear. In this reasoning,
the price that the buyer is willing to
pay is related primarily to the value it
attaches to the product. This pricing
method is often used for consumer
products (well-known branded articles).",Perceived Value Pricing,"A general rule in marketing is that you do not base your selling price on the cost price of the product, but rather on what the market can bear. In this reasoning, the price that the buyer is willing to pay is related primarily to the value it attaches to the product. This pricing method is often used for consumer products (well-known branded articles).",false
7880,Perfect Order Measurement,The percentage of orders that are error-free. total orders—error orders) / total orders) * 100,PERFECT ORDER MEASUREMENT,The percentage of orders that are error-free. total orders – error orders) / total orders) * 100,false
7883,Performance Assessment Plan (PAP),"A key element of successful contract administration. It provides specific information on how the Contract Administration Team will observe and evaluate performance according to the standard required in the contract. PAP includes information on how the ""evaluators"" will observe, survey, sample, test, evaluate and document supplier performance.",PERFORMANCE ASSESSMENT PLAN (PAP),"A key element of successful contract administration. It provides specific information on how the Contract Administration Team will observe and evaluate performance according to the standard required in the contract. PAP includes information on how the “evaluators” will observe, survey, sample, test, evaluate and document supplier performance.",false
