source_row_number,term,definition
12480,Inflation Rate,"The annul percentage rate of increase in the average price level. (Schiller, 2000)"
12481,Informal Bid/Proposal,"A competitive bid, price quotation or proposal for supplies or services that is conveyed by a letter, fax, e-mail or other manner that does not require a formal sealed bid or proposal, public opening or other formalities. Generally relegated to requirements that may be considered low value or fall under a stipulated price/cost threshold."
12482,Informalities/Irregularities,"A submission of a bid or offer which contains minor defects or variations from the exact requirements of the solicitation that do not affect price or other mandatory requirements. Generally a matter of form rather than substance. Following legal review may sometimes be corrected within a certain time period. Also see Irregularities and Informalities. (Harney, 1992)"
13723,INFORMS (INstitute For Operations Research and Management Sciences) http,//www.informs.org. IP (Integer programming): a generalization of linear programming that allows some variables to be restricted to integer values. It is very useful for planning models with go/no-go decision variables.
12483,Inherent Authority,"Authority based on a government’s sovereignty, to enter into contracts, although not explicitly authorized. Also see Implied Authority and Express Authority."
12484,Inherently Governmental Functions,A nebulous term that has been defined as those governmental functions or services which are so intimately related to the public interest as to mandate performance by government employees. These functions include those activities that require either the exercise of discretion in applying governmental authority or the making of value judgments in making decisions for the government.
12486,Initial Public Offering (IPO),"The first issuance to the general public of stock in a corporation. (Business, 2002)"
12487,Initial Training,A method of training typically provided to new employees to expose them to the body of knowledge which includes agency policies and procedures that will be required to comprehend and perform the duties of their position.
12489,Inside Information,"Information that is of advantage to investors that gives them unfair advantage over other investors and the general public. (Business, 2002)"
12490,Insolvency,"The inability to pay debts when they become due. Insolvency will apply even if total assets exceed total liabilities, if those assets cannot be readily converted into cash to meet debts as they mature. (Business, 2002)"
12491,Insourcing (in-house),Moving an outsourced business operation in-house. Also see Outsourcing and Contracting Out.
12492,Inspection Level,"The quantity level at which samples are to be inspected, as well as the size of the sample."
12493,Inspection Report,"The result of an organized examination. A document made as a result of an analysis, informing the purchasing authority of a product’s compliance with advertised specifications."
12494,Installment Sale,A contractual exchange made with the agreement that the purchased goods will be paid for in fractional amounts over a specified period of time.
12496,Institute of Supply Management (ISM),"Founded in 1915, ISM’s mission is to lead the supply management profession through its standards of excellence, research, promotional activities, and education. ISM’s membership base includes more than 45,000 supply management professionals with a network of domestic and international affiliated associations. ISM is a not-for-profit association that provides opportunities for the promotion of the profession and the expansion of professional skills and knowledge. Formerly National Association of Purchasing Management (NAPM)."
12497,Insurance,"A contract between an insurance company and a person or group which provides for a monetary payment in case of a covered loss, accident, death or other insurable exposure. A form of risk mitigation."
13725,Inter-modal,see multi-modal.
12498,Interested Party,See Legal Standing.
13397,Intermodal B/L,"B/L covering cargo moving via multimodal means. Also known as Combined Transport B/L, or Multimodal B/L."
13456,"Intermodal means using 2 or more, modes of transportation","rail, truck or ship. The stock can move over sea by ship, over land by rail and then, at the main rail switch, the container is removed and put on truck chassis. The stock is then carried by truck to our Distribution Centers."
12499,International Organization for Standardization (ISO),"Headquartered in Geneva Switzerland, it is an international body composed of members representing standards organizations. The objective of the organization is to promote the development of standards, testing and certification in order to encourage the international trade of goods and services. As of 2002, ISO reports that its standards have resulted in certification of over 400,000 organizations around the world. ISO has concentrated on quality improvement and has issued the ISO 9000 series of quality system standards. ISO 14000 standards certify an organization’s environment performance. For more information: www.iso.ch."
12500,Inventory (Holding Cost),See Holding Cost (Inventory).
12501,Inventory (Vendor Managed),"A form of outsourcing whereby a contract is initiated with a private business to manage and control the inventory of the public entity. The contractor is responsible for all inventory functions which may include re-ordering. Also called Vendor Managed Inventory. (Miller, 2006)"
13348,Invoice management is an internal business function linked to procurement and is responsible for managing and processing invoice documents from vendors and suppliers. The invoice management process usually involves the following steps,"receiving the invoice, extracting invoice information, validating and verifying the invoice information, approving payments and finally archiving the invoice for future reference."
13724,IP (internet protocol),"a widely used standard format for moving data over a network based in part upon breaking a message into packets of standard size, with the first few bytes providing the destination address."
13726,"IRI (Information Resources, Inc.)","A Chicago based supplier of industry sales data for consumer products (e.g., supermarkets). These data are obtained from sources such as cash register scanners. Another supplier of such data is A.C. Nielsen."
13727,ISBN (International Standard Book Number),"A ten digit product code used for book products. The first digit represents the country, the next several digits the publisher, the next several digits the product, and the final digit is a check digit = (1*d1 + 2*d2+…+9*d9) mod 11. A check digit of 10 is represented by X. The check digit will catch any single digit error or any single transposition. See also UPC."
13728,ISO (International Standards Organization),An international organization to coordinate the setting of standards to facilitate international commerce. See http://www.iso.ch/welcome.html.
12502,"ISO 9000, ISO 14000","Families of standards and guidelines relating to quality management systems and processes. ISO 9000 is primarily concerned with quality; ISO 14000 is primarily concerned with environmental management. Developed by the International Organization for Standardization. (ISM, 2000)"
13524,ISTEA Intermodal Surface Transportation Efficiency Act of 1991,"USA law which restructured transportation planning and funding by requiring consideration of multimodal solutions, emphasis on the movement of people and goods as opposed to traditional
highway investments, flexibility in the use of transportation funds, a greater role of MPOs, and a greater emphasis on public participation."
13379,It is a system used by ships and Vessel Traffic Service (VTS) principally for the identification and the locating of vessels. AIS provides a means for ships to electronically exchange ship data including,"identification, position, course, and speed, with other nearby ships and VTS stations."
13525,ITE Institute of Transportation Engineers,"An international society of professionals in transportation and traffic engineering; publishes Trip Generation (a manual of trip generation rates by land use type). ITS Intelligent Transportation System: Use of computer and communications technology to facilitate the flow of information between travelers and system operators to improve mobility and transportation productivity, enhance safety, maximize the use of existing transportation facilities, conserve energy resources and reduce adverse environmental effects; includes concepts such as “freeway management systems,” “automated
fare collection” and “transit information kiosks.”"
13526,IVHS Intelligent Vehicle/Highway Systems,"Technologies that focus on monitoring, guiding or operating motorized vehicles, or providing information to travelers about road and traffic conditions; examples include computerized navigational systems in cars, collision warning systems and freeway ramp metering. JPA Joint Participation Agreement: Legal instrument describing intergovernmental tasks to be accomplished and/or funds to be paid between government agencies. K Design Hour Factor: Used to convert daily traffic counts to hourly traffic counts, and annual average traffic counts to peak season traffic counts; most road are designed for peak hour, peak season traffic counts."
12503,Jawboning,"The use of verbal encouragement or discouragement by political and economic leaders to achieve a targeted outcome or a particular result. It is an attempt to change public sentiment and move the economy in a certain direction without implementing formal economic policies. (Schiller, 2000)"
13729,JIT (Just In Time),"A form of inventory management in which product is transported in small batches, so that very little inventory is carried because components are delivered just as they are needed. See base stock."
13730,JIT-II,"A style of business coordination, initiated at Bose, whereby a firm’s suppliers and carriers have a full time representative at the firm to coordinate the supply process."
12504,Joint Ownership,"Ownership by more than one party, each with equal rights in the item owned. Frequently applied to the ownership of property or other assets. (Business, 2002)"
13731,joint-product,"one of two or more products (e.g., skim milk and cream) produced by a single production process. See also by-product."
12505,Joint-Use (Agreements),"Agreements between various government agencies that may involve the joint-use of public property such as buildings and equipment. For example, a public school district may share the use of a high school swimming pool with a county recreation and parks agency."
12506,Judgmental Forecasting Method,"A prediction tool that incorporates intuitive judgments, opinions and probability estimates. These forecasts are very subjective and are considered qualitative issues with no absolute resolutions. Generally this situation occurs when either the organization infrequently procures the product or service or if the product or service is relatively new or in a dynamic environment. An example is the rapid increase in demand for hybrid automobiles."
12507,Junk Bonds,"A special type of high-interest-rate bonds that carry higher inherent risks. (Business, 2002)"
12508,"Juran, Joseph","Published the Quality Control Handbook in 1951. Developed the quality trilogy, which consisted of quality planning, quality control, and quality improvement. (Business, 2002)"
12509,KD,See Knocked Down.
12510,Kickback,The payment of something of value to an individual with the goal of persuading or influencing his or her decision or performance in a certain situation.  May be in the form of cash or favors and is usually unethical.
12511,Labor Force,"All persons over the age of 16 who are either working for pay or actively seeking paid employment. (Schiller, 2000)"
12513,Labor Surplus Area,An area designated by the Secretary of Labor as having concentrated unemployment or underemployment in comparison with other areas. Used as one of the criteria for designating economically disadvantaged vendors/suppliers.
13476,labor union,"An organization of workers formed to serve members’ collective interests with regard to wages and working conditions. The maritime unions within ports can include locals of the larger union, such as the General Longshore Workers; Clerks and Checkers; Sack-sewers, Sweepers, Water boys and Coopers; Dock Loaders and Unloaders of Freight Cars and Barges; Dray Clerks, Weighers and Samplers; plus the Seafarer’s International Union; the National Maritime Union; the Marine Engineers’ Beneficial Association and the Teamsters. Some laborers don’t belong to a union."
12512,Labor-Hour Contract,A variation of the time-and-materials contract differing only in that materials are not supplied by the contractor. Provides for the acquisition of services on the basis of direct labor hours at specified fixed hourly rates; is generally used when it is not possible to estimate the extent or duration of required work.
12514,Laissez Faire,"A French phrase meaning “let it be”. An economic doctrine that opposes government involvement in business and commerce. The philosophy of “leave the economy alone” of non-intervention by government in the market mechanism. (Schiller, 2000)"
13732,Lanchester equations,"a pair of differential equations that describe the losses incurred by two competitors or combat forces as a function of their sizes. In discrete time, if the size of the two forces in period t are At and Dt and K, r, and s are parameters, then: At+1 = At - KAtrDts, and Dt+1 = Dt - KDtrAts. Typical cases are a) r = s = 1, and b) r =0, s = 1. Parameter K corresponds approximately to a probability of success. Either case illustrates the importance of concentrating one’s efforts. The essence of these equations was given by F.W. Lanchester in 1916, and by M. Osipov in 1915."
12515,Landed Item Cost,"The total external item-related costs incurred by the purchaser in obtaining an item from the vendor; i.e. sum of the individual directly-related costs such as the expenses (if any), taxes, custom duty fees, etc. This is especially helpful to the agency in determining its total cost to procure that specific item. It does not include any internal agency costs such as salary and overhead expenses, etc."
13733,Lane,"shipping along a specific origin-destination pair. Typically the origin-destinations are city to city, but they might also be state to state, city to state, etc."
13572,"Large mass of sand or earth, formed by the surge of the sea. They are mostly found at the entrances of great rivers or havens, and often render navigation extremely dangerous, but confer tranquility once inside. See also","touch and go, grounding. Alfred Lord Tennyson's poem ""Crossing the bar"" is an allegory for death."
13734,LASH (Lighter Aboard SHip),A multi-modal form of shipping in which small barges are carried on ocean going ships. A standard size of such barges is 44 feet by 26 feet with a capacity of 385 metric tons. A LASH ship may carry about 80 LASH barges.
12516,Last In-First Out (LIFO),"A warehousing inventory term used to indicate that the latest acquired materials are assumed to be physically used first and the remaining materials acquired earlier in date time are assumed to be still on hand in inventory. The LIFO methodology does not rotate inventory therefore it tends to result in aged and outdated materials remaining in inventory; An accounting technique where the highest price is selected from a range of prices that have been paid for the item over a period of time, thus lowering the average cost per unit remaining in inventory while simultaneously increasing the cost of goods sold. The LIFO accounting technique tends to be more popular during inflationary periods, especially in private sector organizations, because of tax considerations. Also see First in-First Out (FIFO)."
12517,Late Bid/Proposal,"A bid, proposal, withdrawal, or modification received, at the designated place for receipt, after the established due date and time. Procurement policies should be established in order to provide guidance regarding how late bids/proposals are handled administratively. In most public entities, late bids/proposals are not opened and may be returned to the bidder/proposer advising that the bid was received late (after the due date and time) and cannot be accepted."
12518,Latent Defect,"A defect, deficiency or imperfection that is not detected or discovered using generally accepted inspection methods. A defect that surfaces after final acceptance. It is not concealed damage. Also see Defect. (NASPO, 2001)"
12519,Law of Agency,"The law of agency states that an agent is someone who acts on behalf of a principal. A product of common law that focuses not only on the creation of agent relationships but also the liability for losses suffered by others who deal with agents. There are two ways to create an agency relationship - by agreement between principal and agent or by law. Also see Agent, Buyer and Principal."
12520,Law of Demand,"The quantity of a good demanded in a given time period increases as its price falls. (Schiller, 2000)"
12521,Law of Supply,"The quantity of a good supplied in a given time period increases as its price increases. (Schiller, 2000)"
13416,Laydays/Cancelling (date),Range of dates within the hire contract must start.
12522,LBO,See Leveraged Buyout.
12523,Leadership in Energy and Environmental Design (LEED) Certification,"A certification issued by the U.S. Green Building Council (USGBC). It is a voluntary, consensus-based rating system, which delivers a sound and certifiable basis for identifying buildings that represent leadership in the use of sustainable building practices and design. Referred to as LEED Certification. (www.usgb.org)"
12524,Leading Indicators,"An economic term also referred to as cyclical indicators, these are groups of statistics that point to the future direction of the economy and the business cycle. May be helpful when performing price or supply forecasts. (ISM, 2000) Also see Lagging Indicator."
12525,Lean Thinking,"An organizational culture that is characterized by a comprehensive effort to identify and remove waste and thus improve efficiency in all areas including time, materials, people, money, facilities, quality, schedules, policies, customers, transportation and logistics."
12526,LEAP (Learning and Education to Advance Procurement),"Educational services offered by NIGP that offer opportunities for purchasing interns, practitioners and scholars to elevate professional recognition. The curriculum provides foundation courses leading to professional certification and advanced courses leading to an Executive Certificate in Public Procurement."
12527,LEED Certification,See Leadership in Energy and Environmental Design (LEED) Certification.
12528,Legal Barriers,"Refers to the effect that existing laws, statutes, or ordinances may have on governmental decision making or the lack thereof. (Business, 2002)"
12529,Legal Notice,"A public notice required by law, ordinance or executive order. Generally placed in a newspaper of general circulation or may be posted on a web-site, magazine or other media, depending on the specific legal requirements."
12530,Legal Standing,"In common law, and under many statutes, standing is the ability of a party to demonstrate to the court sufficient connection to and harm from the law for action challenged to support that party’s participation in the case. Also reference Interested Party."
12531,Legality of Purpose,"To be valid and enforceable, a contract must be consistent with federal, state or local law and cannot violate legal statutes of public policy. (ISM, 2000)"
12532,Legally Flawed,A document or situation that contains terms or conditions that are contrary to law which may make an award impossible.
12533,Legislative Law,"A source of public procurement law that may include written constitutions, statutes, ordinances, and charters."
12534,Less-Than-Carload (LTC),"A quantity of freight less than the amount necessary to constitute a full carload. A transportation/freight term that refers to a freight rate that is usually higher than for a full carload. (ISM, 2000)"
12535,Less-Than-Truckload (LTL),A quantity of freight less than the amount necessary to constitute a full truckload.
12536,Letter Contract,"Typically, a quickly crafted document, where exigency requires an immediate binding agreement so work can begin, but time does not permit the development of a definitive contract. An interim contractual agreement."
12537,Letter of Intent (LOI),"A letter customarily employed as a preliminary understanding of parties that intend to enter into a contract. (Black’s Law Dictionary, 904, 1990)"
12538,Leveraged Buyout (LBO),"A purchase in which a group of investors borrow money from banks and other institutions to acquire a company, using the assets of the purchased company to guarantee repayment of the loan. (Business, 2002)"
12539,License,"A legal instrument granting permission to do a particular thing, to exercise a certain privilege, to carry on a particular business, or to pursue a certain occupation. When granted by an appropriate government body, licenses are permits allowing a person, firm, or corporation to pursue some occupation or business, subject to regulation. (Black’s Law Dictionary, 919-20, 1990)"
12540,Life Cycle Cost (LCC),"The total cost of ownership over the life span of the asset. A procurement technique that takes into account operating, maintenance, the time value of money, disposal and other associated costs of ownership as well as the residual value of the item."
12541,Life Expectancy,The number of years during which the asset is expected to remain in active use.
13735,LIFO (Last In First Out),"Inventory policy in which the last item added to inventory is the first one used. It is of interest for tax purposes in that in a time of rising raw material prices, taxable profits are postponed. See also FIFO."
13736,LIFR (Line Item Fill Rate),"The fraction of line items that are filled. For example, if a line item in an order requests ten units, then the line item is defined as filled only if all ten units are shipped. If all line items request just one unit, then the line item fill rate is the same as the item fill rate. See also order fill rate and item fill rate."
13477,Lift On-Lift Off (LO/LO),Cargo handling technique involving transfer of commodities to and from the ship using shoreside cranes or ship's gear.
12542,Limitation of Cost,A provision that limits the total costs for which a contractor can be reimbursed under the terms of a cost reimbursement contract.
12543,Limited Liability Company (LLC),"A form of business ownership that provides limited liability and taxation like a partnership but places fewer restrictions on shareholders. (Ferrell, 2002)"
12544,Limited Warranty,A written warranty which fails to meet one or more of the minimum standards for a full warranty.
12545,Line and Staff,"An organizational structure having a traditional line relationship between superiors and subordinates and also specialized managers, called staff managers, who are available to assist line managers. (Ferrell, 2002)"
12546,Line Function,"One of the three identified functions of a procurement department. This function includes its own authorized work to issue bids, requests for proposals, and contracts with vendors in order to obtain the necessary materials and services in support of agency operations; the procurement department is the primary point of contact when doing business with the agency under the principles of the law of agency; functions as a specific department within the agency that has its own budget and organizational hierarchy and appears as an individual department on the agency’s organizational chart with other departments such as personnel, finance, police, fire, etc. Also see Staff Function and Service Function."
12547,Line Item Budget,"Fixed budgets with monies appropriated for a particular period, usually one year, which can be tied to a specific project or item. This money is specifically allocated to that project or item and cannot be spent on other uses. They are easy to understand and are designed to maximize control and ensure financial accountability."
12549,Line Object,Canadian A departmental classification of expenditure at the source. It is either coincident with the economic object or represents a subdivision of it.
12548,Line of Credit,"An arrangement by which a bank or lending institution agrees to lend a specified amount of money to an organization upon authorized request. Assures that cash will be available to meet day-to-day business expenses. (Ferrell, 2002)"
13738,Linear loss function,0
13737,Linear programming,a mathematical procedure for maximizing a linear function subject to linear inequality constraints. George Dantzig gave a general statement of the problem and invented the Simplex method for solving linear programs.
12550,Liquidity,"The ability of an asset to be converted into cash. (Schiller, 2000)"
12551,Liquidity Ratios,"Ratios that measure the speed with which a company can turn its assets into cash to meet short-term debt. (Schiller, 2000)"
12552,LISTSERV,"An automatic mailing list server targeting a specified group. When email is addressed to a LISTSERV mailing list, it automatically broadcasts to everyone on the list. (Jansen, 2002)"
12553,Litigation,One party to a contract bringing suit against the other party in a court of law. Also see alternative dispute resolution.
13739,Little’s Flow Equation,states that (average inventory level) = (average throughput rate )* (average time in system).
12554,Living Wage,"A term used by advocates to refer to the minimum hourly wage necessary for a person to achieve some specific standard of living. In the context of developed countries such as the United Kingdom or Switzerland, this standard generally means that a person working forty hours a week, with no additional income, should be able to afford a specified quality or quantity of housing, food, utilities, transport, health care, and recreation. This concept differs from the minimum wage in that the latter is set by law and may fail to meet the requirements of a living wage. (Wikipedia 1.17.07)"
12555,LLC,See Limited Liability Company.
13740,Load planning,"The process of deciding which items get loaded where in a truck, airplane, container, or ship. For a LTL truck, you want to load items in the reverse order of which they will be removed (assuming unloading from the rear). For ships and airplanes, you want the center of gravity of the load to be close to the center of lift or support. You want the heaviest item to be closest to the center of support, so as to reduce the stress. For a truck, you want the load evenly distributed over the axles, so as to not violate axle weight limits."
12556,Local Preference,"See Bid Preference, Buy Local and Preference."
12557,Local Public Procurement Unit,"Any county, city, town, school district, special authority, or any other subdivision of the state, or public agency of any such subdivision, or educational, health, or other institution spending public funds for the procurement of services, supplies, or construction."
12558,Local Purchase Authority,Canadian Delegated authority to initiate and administer a purchase instrument.
12560,Lock-out,"A management’s version of a strike, wherein a work site is closed so that employees cannot go to work. Any form of work stoppage that will impede a contractor’s ability to perform the contracted work. (Business, 2002)"
12559,Lockbox,"A postal address, usually a commercial bank, at which a company receives payments in order to speed collections from customers. (Ferrell, 2002)"
12561,LOE,See Level of Effort Contract.
13741,Logit model,"A statistical technique frequently used in deciding whether to grant or deny credit to a prospective customer. Given various features of customer i, xi1, xi2, .. xin, the logit model determines weights w0, w1,… wn, to compute a score s(i) = w0 + w1* xi1 + … +wn*xin. Prospects with a high score are granted credit; prospects with a low score are denied credit. Probability of being bad (0) is based on the logistics distribution and is given by: Prob{ i is bad | s(i)} = 1/(1 + e-s(i)). See also Probit model."
13398,Long Form B/L,B/L form with all Terms & Conditions written on it.Most B/L’s are short form which incorporate the long form clauses by reference.
12562,Long Term Contract,A decision to contract with a specified vendor over an extended period of time.
12563,Long-Term Liabilities,"Debts that will be repaid over a number of years, such as long-term loans and bond issues. (Business, 2002)"
13478,longshoremen,"Dock workers who load and unload ships, or perform administrative tasks associated with the loading or unloading of cargo. They may or may not be members of labor unions. Longshore gangs are hired by stevedoring firms to work the ships. Longshoremen are also called stevedores."
13527,LOS Level of Service,A qualitative assessment of a road’s operating condition; generally described using a scale of A (little congestion) to E/F (severe congestion).
12564,Loss,"A business situation in which the total cost of production exceeds total revenue; negative profit. (Schiller, 2000)"
13742,Lot-splitting,"A manufacturing convention of splitting a final order size into smaller lots at some point in the production process. For example, suppose a customer orders 100 angle rings and producing angle rings requires two steps (rolling and welding). We lot split if after rolling the first ten rings, we ship this sub-lot of ten on ahead to begin the welding operation. The advantage is that for our little example, the lot splitting may allow the order to get through the factory in almost half the time. The disadvantage is that administrative costs may increase if we do not have a good way of keeping track of the status of all the sublots of a final lot. JIT is based in large part on lot-splitting."
12565,Lowball,"To begin a sales negotiation or sales transaction by quoting low prices and then attempting to raise the prices once the buyer shows interest. Also see Buying In. (Miller, 2006)"
12566,Lowest Responsive and Responsible Bidder,"The bidder who fully complied with all of the bid requirements and whose past performance, reputation and financial capability is deemed acceptable and has offered the most advantageous pricing or cost benefit, based on the criteria stipulated in the bid documents."
13528,LRP Long Range Plan,"A 20-year forecast plan required of state planning agencies and MPOs; must consider a wide range of social, environmental, energy and economic factors in determining overall regional goals and consider how transportation can best meet these goals."
13529,LRT Light Rail Transit,"An electric rail system which has single cars or short trains, and
passengers board at track or car floor level;"
12567,LTC,See Less-than-Carload.
13743,LTL (Less Than Truckload),"A shipment that shares space on the vehicle with shipments destined for other recipients. A vehicle that makes multiple stops, dropping off or picking up only a portion of its load at each stop."
12568,LVP,Large Volume Parenteral
12569,Macroeconomics,"The study of aggregate economic behavior. The study of the economy in a larger context- to view it as a whole. Also see Microeconomics. (Schiller, 2000)"
13744,MAD (Minimum Absolute Deviation),"A measure of statistical error defined as the average absolute deviation between the forecast and the actual, or perhaps alternatively between the mean and the actual. Contrast this with standard deviation, which measures the average squared difference. If our costs (e.g., shortage or inventory) are simply proportional to our overage or underage, then MAD may be a more useful measure of error. One of the early motivations for using the MAD in forecasting systems was that the MAD takes about half as much work to compute as the standard deviations. For random variables with a Normal distribution, the standard deviation is approximately equal to 1.25*MAD."
12570,Mailbox Rule,"A common-law rule providing that an acceptance of an offer becomes effective and creates a binding contract when it is transmitted rather than when it is received. (Nash, Schooner, O’Brien, 1998)"
12571,Maintenance Bond,"A surety guarantee which protects the purchaser against defects or inferior materials or workmanship for a specified period of time following the expiration of the initial warranty or guarantee period. An extended warranty guaranteed by a surety. (Business, 2002)"
12572,"Maintenance, Repair, Operating (MRO)","A supply management term that refers to various commodities that are generally of low value, purchased frequently and available from multiple sources. These items are often assigned to a buying team who specializes in these commodity areas. Typical examples include oil, rags, grease, tools, and hardware fasteners."
12573,Managed Competition,See Public-Private Competition.
12574,Management,"A process designed to achieve an organization’s objectives by using its resources effectively and efficiently in a changing environment. The management process consists of five functions: planning, organizing, directing, controlling and staffing. (Ferrell, 2002)"
12575,Management Audit,An audit conducted to determine the degree of management efficiency and effectiveness.
12576,Management Buy-Out,"The purchase of an existing business by an individual manager or management group from within the business. (Business, 2002)"
12577,Management Reports,A technique used to measure progress or to control procurement activities from collected data. These reports enable both procurement officials and managers to assess progress and readjust activities to accomplish the goals and objectives of the organization.
12578,Manufacturer,"A person or business entity that creates, makes, processes, or fabricates a product or something of value, which changes a raw material or commodity from one form to another or creates a new product or commodity. (Business, 2002)"
12579,Manufacturer Code,Canadian A numeric code assigned by respective government agencies to organizations which are sources of supply for items produced. The code numbers are also assigned to government manufacturing equipment or to certain special non-manufacturing organizations.
12580,Manufacturer’s Price List,A price list published in some form by the manufacturer and available to and recognized by the trade. The term does not include a price list prepared especially for a given bid.
13745,MAPE (Mean Absolute Percentage Error),The mean absolute forecast error divided by the average demand times 100. It is always non-negative and may be greater than 100.
12581,Marginal Propensity to Consume (MPC),"The fraction of each additional dollar of disposable income spent on consumption; the change in consumption divided by the change in disposable income. (Schiller, 2000)"
12582,Marginal Propensity to Save (MPS),"The fraction of each additional dollar of disposable income not spent on consumption. (Schiller, 2000)"
13581,Maritime punishment,to punish by dragging under the keel of a ship.
12583,Market Analysis,"The process of analyzing prices and trends in the competitive marketplace to compare product availability and offered prices with market alternatives and establish the reasonableness of offered prices. Also see Demand Analysis, Procurement Profile, Spend Analysis and Supply Positioning. (Business, 2002)"
13344,"MARKET ANALYSIS - When developing a procurement strategy, most procurement processes reconcile analysis of demand for the category with the attributes of the supply market to develop an appropriate strategy. Market analysis is the systematic review of the characteristics, capacity and capability of the supply market in order to understand the extent to which the market meets the needs of the buying organization. For example, the definition of market requires decisions about two key dimensions","the geographical scope of the market, (is it a local, regional, national or global market?), and the technical scope of the market. Technical scope addresses the range of solutions that meet substantially the same need. Once the market is defined, tools of analysis may be used to profile the 13 market, such as life cycle, trends, technology road map, the relative bargaining power of buyers and sellers, the threat of new entrants etc."
12584,Market Economy,"An economy that relies on markets for basic decisions about WHAT to produce, HOW to produce it, and FOR WHOM to produce. Contrast to socialism or communism where political decisions determine market direction. (Schiller, 2000)"
12585,Market Grades,"Used when procuring commodities that are traded regularly on the commodity exchange such as lumber, steel, food products, fuel, etc. Grading determines the quality level of the commodities. Trade associations, commodity exchanges and government agencies are sources of market grade information."
12587,Market Segmentation,"A strategy whereby a business divides the total market into groups of people who have relatively similar product needs. (Ferrell, 2002)"
12588,Market Supply,"The total quantities of a good that sellers are willing and able to sell at alternative prices in a given time period. (Schiller, 2000)"
12589,Market Testing,"A service contracting technique which refers to the use of public-private competitions to compare or benchmark in-house service delivery approaches and costs against the private sector. (Ferrell, 2002)"
12590,Market Value,"Canadian The price which a product, service or property might be expected to bring if offered for sale in a fair market, i.e. a market that is not prone to fluctuations."
12586,Market-oriented pricing,"Price setting that occurs when prices are defined according to the range of the quality of the product or service provided by the supplier.  Example: the good, better, best models of products with extra features such as are found in automobiles and electronics. Market Research: Collecting and analyzing information about capabilities within the market to satisfy agency needs. The results of market research are used to arrive at the most suitable approach to acquiring, distributing and supporting supplies and services."
12591,Marketable Securities,"Temporary investment of “extra” cash by organizations for up to one year in U.S. Treasury bills, certificates of deposit, commercial paper, or Eurodollar loans. (Ferrell, 2002)"
12592,Marketing,"A group of activities designed to expedite transactions by creating, distributing, pricing, and promoting goods, services and ideas. (Ferrell, 2002)"
12593,Marketing Channel,"A group of organizations that moves products from their producer to customers; also called channel distribution. (Ferrell, 2002)"
12594,Marketing Mix,"The four marketing activities—Product, Price, Promotion and Distribution—that the business can control to achieve specific goals within a dynamic marketing environment. (Ferrell, 2002)"
12595,Maslow’s Hierarchy (of Need),"A theory developed by Abraham Maslow, that arranges the five basic needs of people: Physiological, Security, Social, Esteem and Self-Actualization-—into the order in which people strive to satisfy them. Once a need is satisfied, it is no longer a motivator. (Ferrell, 2002)"
12596,Material Credit,A credit issued by the warehouse upon the return of requisitioned supplies found to be in excess of requirements.
12597,Material Defects,Defects that are a matter of substance that affect price or quality and do not conform to the solicitation requirements.
12598,Material Life Cycle,"The phases through which material assets pass including, assess and plan material requirements; acquisition; operation, use and maintenance; disposal."
12599,Material/Materiel Forecasting,Estimating future needs to avoid stock outs or oversupply.
12600,Material/Materiel Requirements Planning (MRP) System,"A technique used to determine the quantity of dependent demand materials used in a planning period. May be used to schedule and control production, inventory levels, and deliveries from outside suppliers."
12601,Matériel,"Term commonly used by warehouse environments and the military to refer to equipment, apparatus and supplies used by an organization or institution.  (Merriam Webster)"
12602,Matériel Management,"A comprehensive integration of the various supply management functions within a particular organization. May include functions such as purchasing, storage, inventory control, material/materiel forecasting, receiving, transportation, inspection and quality control. Also see Supply Chain Management. (ISM, 2000)"
12603,Materiel Management Institute,A Canadian non-profit organization offering professional development in the field of public sector materiel and supply management. (www.mmi-igm.ca)
13746,MaxiCode,"A two-dimensional bar code used by UPS and other firms in the transportation industry. The code has a distinctive bullseye in the center. Other popular 2-D codes are PDF 417 and Data Matrix. For more details, see www.aimglobal.org."
12604,Maximum Stock Level,The level which represents the maximum amount of stock of an item that may be held.
12605,May,Denotes the permissive in a contract clause or specification. Also see Shall.
12606,MBE,"Minority Business Enterprises. Also see Economically Disadvantaged Individuals, Small Disadvantaged Business, Historically Underutilized Business (HUB), and Women-Owned Business (WBE)."
12607,"McGregor, Douglas",A social scientist who authored “The Human Side of Enterprise” published in 1960 which examines management theories on behavior of individuals at work. He formulated two models which he called Theory X and Theory Y. Also see Theory X and Theory Y.
13430,Measure time onboard ship. One bell sounds for each half hour. One bell means 12,"30, two bells mean 1:00, three bells mean 1:30, and so on until 4:00 (eight bells). At 4:30 the cycle begins again with one bell."
12608,Mechanic’s Lien,A lien in favor of those who have performed work or furnished materials for the construction of a building; is attached to the land as well as the building in order to secure payment.
12609,Mediated Arbitration,"An ADR process frequently referred to as “med-arb”. It begins as mediation until an impasse is reached. When an impasse is reached, the neutral party is authorized by the parties to issue a binding opinion on the cause of the impasse or the remaining issues in dispute."
12610,Mediation,"A voluntary, flexible technique for resolving disputes. The contracting parties present their positions to a mediator who then works with them in negotiating a settlement. Generally each party appoints a principal with the authority to settle the dispute. (Nash, Schooner, O’Brien, 1998)"
13399,Memo B/L,Unfreighted B/L with no charges listed.
